trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
299,False,"{'a': 0.8, 'e': 0.07572377160642475}",35,20,25.646257956496573,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.8, 'e': 0.0707372016677029}",20,9,19.59260916499775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 0.06574886330262336}",20,8,14.180418615610506,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.8, 'e': 0.0607588812193859}",20,0,17.966514780748547,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
303,False,"{'a': 0.8, 'e': 0.05576738016728225}",20,0,25.76625043997675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.8, 'e': 0.05077448493357918}",25,12,22.53396574842815,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.8, 'e': 0.04578032034039706}",25,8,26.23403405871302,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.8, 'e': 0.040785011241591035}",30,0,44.86275690165194,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.8, 'e': 0.03578868251962797}",25,4,28.761925669717318,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.8, 'e': 0.030791459082466124}",25,0,-3.1826230673548452,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
309,False,"{'a': 0.8, 'e': 0.02579346586043094}",20,9,7.5994056912327945,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.8, 'e': 0.02079482780309243}",20,12,16.31344691759467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.8, 'e': 0.01579566987614213}",20,3,26.457833595268205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.8, 'e': 0.010796117058267392}",25,14,18.59784923768714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.8, 'e': 0.00579629433802872}",25,13,10.093990033102145,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,12.912001570724197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,1,38.69066869018192,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,5,47.83885250814567,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,11.443235499514078,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,13,26.2215593084754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.938946001113161,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,12.54875967897004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,17.504645454379723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,18.937283501583607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,26.59201835405739,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
